INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
EAST 21 FOREVER,50055312,7126 ROOSEVELT AVE,"JACKSON HEIGHTS, NY 11372-6137",QUEENS,1013569,211284,50055312,Asian
EAST SIDE DINER,50053413,352 E 23RD ST,"NEW YORK, NY 10010-4701",MANHATTAN,989916,207882,50053413,American
EAST VILLAGE THIA RESTAURANT,50045953,32 E 7TH ST,"NEW YORK, NY 10003-8229",MANHATTAN,987320,204620,50045953,Thai
EASTFIELD'S,50048487,1479 YORK AVE,"NEW YORK, NY 10075-8841",MANHATTAN,997892,220167,50048487,American
EAT AND GO,50040799,15814 CROSSBAY BLVD,"HOWARD BEACH, NY 11414-3136",QUEENS,1028587,179929,50040799,Turkish
EATSA,50055047,285 MADISON AVE STE 101,"NEW YORK, NY 10017-6401",MANHATTAN,989781,213162,50055047,Vegetarian
EATSA,50057180,666 3RD AVE STE 110,"NEW YORK, NY 10017-4011",MANHATTAN,991384,212905,50057180,American
EFFY'S KITCHEN,50040806,1567 LEXINGTON AVE,"NEW YORK, NY 10029-6217",MANHATTAN,998377,226560,50040806,American
EIGHT JANE FOOD,50043427,3712 MAIN ST STE 1,"FLUSHING, NY 11354-4107",QUEENS,1031056,216708,50043427,Asian
EIM KHAO MUN KAI,50005883,8132 BROADWAY,"ELMHURST, NY 11373-2450",QUEENS,1016536,210065,50005883,Thai
EL CAMPEON DE LOS POLLOS,50039847,11106 LEFFERTS BLVD,"S OZONE PARK, NY 11420-1345",QUEENS,1033833,187153,50039847,Spanish
EL CONDE NUEVO,50060875,4139 BROADWAY FL 1,"NEW YORK, NY 10033-3734",MANHATTAN,1001267,247534,50060875,Spanish
EL DORADO RESTAURANT,50056193,2236 HYLAN BLVD,"STATEN ISLAND, NY 10306-3227",STATEN ISLAND,955325,149167,50056193,Spanish
EL NUEVO VALLE III,50060214,268 E 167TH ST,"BRONX, NY 10456-4017",BRONX,1007989,242892,50060214,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
EL PUNTO RESTAURANT,50060472,494 E 138TH ST,"BRONX, NY 10454-3005",BRONX,1006464,233581,50060472,Spanish
EL REY IV BILLIARD & LOUNGE,50038308,7516 ROCKAWAY BLVD,"WOODHAVEN, NY 11421-2839",QUEENS,1021696,189169,50038308,Spanish
EL SABOR CARIBENO RESTAURANT,50055367,1062 BROADWAY,"BROOKLYN, NY 11221-2427",BROOKLYN,1003227,192455,50055367,Spanish
EL SOMBRERO,50017235,108 STANTON ST FRNT 1,"NEW YORK, NY 10002-1529",MANHATTAN,987695,202023,50017235,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
EL TORITO MEXICAN RESTAURANT,50032967,2132 CRUGER AVE,"BRONX, NY 10462-2386",BRONX,1021128,250505,50032967,Mexican
EL VALLE RESTAURANTE,50045072,3452 BOSTON RD,"BRONX, NY 10469-2512",BRONX,1026138,258582,50045072,Spanish
EL VALLE SEAFOOD RESTAURANT,50048246,231 SHERMAN AVE,"NEW YORK, NY 10034-2502",MANHATTAN,1006485,254770,50048246,Spanish
EL VIEJO YAYO RESTAURANT & BAR,50019248,9712 101ST AVE,"OZONE PARK, NY 11416-2522",QUEENS,1027513,188815,50019248,Spanish
ELITE CAFE,50056718,7228 MAIN ST,"FLUSHING, NY 11367-2408",QUEENS,1033754,203759,50056718,Jewish/Kosher
ELLIE'S DINER & RESTAURANT,50032968,58 METROPOLITAN OVAL FRNT,"BRONX, NY 10462-6601",BRONX,1023060,244527,50032968,American
EMACK & BOLIOS,50037719,115 MONTAGUE ST FRNT,"BROOKLYN, NY 11201-3470",BROOKLYN,985672,192469,50037719,"Ice Cream, Gelato, Yogurt, Ices"
EMELY CAFE,50050962,424 SUTTER AVE,"BROOKLYN, NY 11212-8113",BROOKLYN,1011040,182713,50050962,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
EMPLOYEE'S CAFETERIA,50059141,374 STOCKHOLM ST,"BROOKLYN, NY 11237-4006",BROOKLYN,1007069,196005,50059141,American
ENERGY JUICE BAR AND GRILL,50059349,3788 NOSTRAND AVE,"BROOKLYN, NY 11235-2013",BROOKLYN,1000880,154680,50059349,"Juice, Smoothies, Fruit Salads"
ENRICHED ADULT DAY CARE SERVICES,50010872,7712 NEW UTRECHT AVE,"BROOKLYN, NY 11214-1014",BROOKLYN,984122,162968,50010872,Russian
EPICERIE BOULUD,50053374,185 GREENWICH ST,"NEW YORK, NY 10007-2344",MANHATTAN,980899,198618,50053374,French
ESPINAL DELI & GROCERY,50058269,282 NOSTRAND AVE,"BROOKLYN, NY 11205-4927",BROOKLYN,997684,190762,50058269,Spanish
ETSY,50060266,117 ADAMS ST,"BROOKLYN, NY 11201-1401",BROOKLYN,987394,194536,50060266,American
ETTO ESPRESSO BAR,50038414,4277 HUNTER ST,"LONG ISLAND CITY, NY 11101-4116",QUEENS,1000701,212020,50038414,Caf&eacute;/Coffee/Tea
EXQUISITO DOMINICAN RESTAURANT,50054979,1542 GATES AVE,"BROOKLYN, NY 11237-5769",BROOKLYN,1008498,194011,50054979,Spanish
Eat Morris,50043362,145 BROOKLYN AVE,"BROOKLYN, NY 11213-1930",BROOKLYN,999655,185119,50043362,Caf&eacute;/Coffee/Tea
El Barrio Burritos,50008164,796A FRANKLIN AVE FRNT,"BROOKLYN, NY 11238-6203",BROOKLYN,995959,183814,50008164,Mexican
F & F PIZZERIA,50052109,1060 RICHMOND RD,"STATEN ISLAND, NY 10304-2418",STATEN ISLAND,958513,158218,50052109,Pizza/Italian
FACTORY CAFE NYC,50055646,1724 SHEEPSHEAD BAY RD,"BROOKLYN, NY 11235-3605",BROOKLYN,997677,152614,50055646,Mediterranean
FAIRFIELD INN & SUITES NEW YORK MANHATTAN FINANCIAL DISTRICT,50017223,161 FRONT ST,"NEW YORK, NY 10038-4909",MANHATTAN,982836,196510,50017223,Continental
FAMOUS SICHUAN,50005590,10 PELL ST,"NEW YORK, NY 10013-5135 US",MANHATTAN,984916,199674,50005590,Chinese
FANTASTIC BAGELS,50059091,8614 4TH AVE,"BROOKLYN, NY 11209-5108",BROOKLYN,976357,166116,50059091,Bagels/Pretzels
FARINELLA,50039079,267 AMSTERDAM AVE,"NEW YORK, NY 10023-2801",MANHATTAN,989405,223058,50039079,Pizza
FATHER KNOWS BEST,50032750,611A WILSON AVE,"BROOKLYN, NY 11207-1220",BROOKLYN,1010014,190719,50032750,American
FAWKNER,50040327,191 SMITH ST,"BROOKLYN, NY 11201-6410",BROOKLYN,986628,188948,50040327,American
FEED YOUR SOUL CAFE (Located inside Lobby of Roza Management Building),50064359,14 WALL ST STE 104,"NEW YORK, NY 10005-2101",MANHATTAN,981201,196982,50064359,Caf&eacute;/Coffee/Tea
FILLMORE DELICATESSEN,50047509,1668 3RD AVE FRNT,"NEW YORK, NY 10128-3741",MANHATTAN,997946,224749,50047509,Sandwiches/Salads/Mixed Buffet
FINE & RARE,50057481,9 E 37TH ST FRNT B,"NEW YORK, NY 10016-2822",MANHATTAN,989135,212527,50057481,American
FIRST STOP BAR & GRILL,50063906,2708 QUEENS PLZ S,"LONG ISLAND CITY, NY 11101-4102",QUEENS,1000965,212562,50063906,American
FLB'S PUB,50011613,3255 FRANCIS LEWIS BLVD,"FLUSHING, NY 11358-1991",QUEENS,1042126,219138,50011613,American
FLOWERS FOR ALL OCCASIONS,50043802,1114 DEKALB AVE UNIT 1,"BROOKLYN, NY 11221-3016",BROOKLYN,1003664,192062,50043802,American
FOGO DE CHAO,50004133,40 W 53RD ST,"NEW YORK, NY 10019-6106",MANHATTAN,990348,216644,50004133,Brazilian
FORNO ROSSO PIZZERIA,50009755,327 GOLD ST,"BROOKLYN, NY 11201-3016",BROOKLYN,988889,192315,50009755,Italian
FORTUNE PLACE,50005177,286 BROADWAY,"BROOKLYN, NY 11211-6215",BROOKLYN,995762,197449,50005177,Chinese
FOWLER AND WELLS,50053729,5 BEEKMAN ST,"NEW YORK, NY 10038-2206",MANHATTAN,982402,198456,50053729,Other
FRANKEL'S DELICATESSEN,50047343,631 MANHATTAN AVE,"BROOKLYN, NY 11222-3146",BROOKLYN,997867,203014,50047343,American
FRESH SOFT TORTILLA,50043899,3115 DITMARS BLVD,"ASTORIA, NY 11105-2305",QUEENS,1009134,221922,50043899,Tex-Mex
FRESH TACO,50044700,4559 46TH ST,"WOODSIDE, NY 11377-5227",QUEENS,1006717,209618,50044700,Chinese
FREUD,50044932,506 LAGUARDIA PL FRNT,"NEW YORK, NY 10012-2591",MANHATTAN,984429,204365,50044932,French
FRIEND OF A FARMER,50018062,76 MONTAGUE ST,"BROOKLYN, NY 11201-3305",BROOKLYN,985265,192609,50018062,American
FRIEND RESTAURANT,50005341,11015 101ST AVE,"SOUTH RICHMOND HILL, NY 11419-1031",QUEENS,1030459,189928,50005341,Chinese
FUKU,50037044,163 1ST AVE,"NEW YORK, NY 10003-2927",MANHATTAN,988580,204821,50037044,American
FUKUOKA SHABU-SHABU,50015593,6102 SPRINGFIELD BLVD,"OAKLAND GARDENS, NY 11364-2336",QUEENS,1051698,212182,50015593,Japanese
FUSHIMI,50054331,17 PAGE AVE,"STATEN ISLAND, NY 10309-2611",STATEN ISLAND,918951,129983,50054331,Japanese
FUSHIMI JAPANESE CUISINE,50014920,2110 RICHMOND RD UNIT A,"STATEN ISLAND, NY 10306-2576",STATEN ISLAND,953205,151155,50014920,Japanese
Fire Grilled Burgers,50004726,1077 BAY ST,"STATEN ISLAND, NY 10305-4905",STATEN ISLAND,965398,163894,50004726,American
Friends and Lovers,50058844,641 CLASSON AVE,"BROOKLYN, NY 11238-3202",BROOKLYN,995700,186510,50058844,American
GALERIA,50043092,43 CLINTON ST FRNT,"NEW YORK, NY 10002-2416",MANHATTAN,988497,201543,50043092,Brazilian
GAW GAI,50057511,2306 JACKSON AVE STE A,"LONG ISLAND CITY, NY 11101-4304",QUEENS,999365,211028,50057511,Thai
GEORGIAN DREAM CAFE-RESTAURANT,50054113,8309 3RD AVE FL 1,"BROOKLYN, NY 11209-4402",BROOKLYN,975868,167182,50054113,Eastern European
GFC,50052161,1206 REMSEN AVE,"BROOKLYN, NY 11236-3925",BROOKLYN,1010386,172493,50052161,Chicken
GIA LAM II,50046234,5414 8TH AVE,"BROOKLYN, NY 11220-3230",BROOKLYN,982530,171988,50046234,Other
GIGI'S PIZZA & PASTA,50063408,2020 EASTCHESTER RD,"BRONX, NY 10461-2240",BRONX,1027561,250400,50063408,Pizza/Italian
GIRASOLES MEXICAN CUISINE,50058812,18401 JAMAICA AVE,"JAMAICA, NY 11423-2403",QUEENS,1046387,197724,50058812,Mexican
GIVERS AND TAKERS,50014712,286 3RD AVE,"BROOKLYN, NY 11215-1004",BROOKLYN,988092,186044,50014712,American
GOD'S LOVE WE DELIVER,50038373,166 AVENUE OF THE AMERICAS BLDG,"NEW YORK, NY 10013",MANHATTAN,983148,203639,50038373,American
GOLDEN KRUST,50053833,16510 JAMAICA AVE,"JAMAICA, NY 11432-4905",QUEENS,1041176,196388,50053833,Caribbean
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,50055291,23002 MERRICK BLVD,"LAURELTON, NY 11413-2109",QUEENS,1056282,185690,50055291,Caribbean
GOLDIE'S,50053142,195 NASSAU AVE FL GROUND,"BROOKLYN, NY 11222-5357",BROOKLYN,999465,203623,50053142,American
GONG CHA,50053084,13620 ROOSEVELT AVE STE 13,"FLUSHING, NY 11354-5664",QUEENS,1031557,216133,50053084,Caf&eacute;/Coffee/Tea
GONG CHA,50053085,4006 UNION ST,"FLUSHING, NY 11354-6044",QUEENS,1032332,216302,50053085,Other
GONG CHA,50054262,6135 JUNCTION BLVD UNIT 1K05,"REGO PARK, NY 11374-2771",QUEENS,1021894,206516,50054262,Caf&eacute;/Coffee/Tea
GONG CHA,50063529,72 BAYARD ST,"NEW YORK, NY 10013-4921",MANHATTAN,984718,199981,50063529,Caf&eacute;/Coffee/Tea
GOOD LUCK CHINESE RESTAURANT,50040929,4516 48TH AVE,"WOODSIDE, NY 11377-6554",QUEENS,1006378,208663,50040929,Chinese
GOOD TASTE CHINESE FOOD,50005589,863 E 149TH ST,"BRONX, NY 10455-4610",BRONX,1010907,235034,50005589,Chinese
GOTHAM COFFEE ROASTERS,50058667,23 W 19TH ST,"NEW YORK, NY 10011-4332",MANHATTAN,986368,208700,50058667,Caf&eacute;/Coffee/Tea
GRAFFITI,50049906,130 DUANE ST,"NEW YORK, NY 10013-3808",MANHATTAN,982207,200176,50049906,American
GRAND SICHUAN,50015759,98108 QUEENS BLVD,"REGO PARK, NY 11374-4354",QUEENS,1024567,204265,50015759,Chinese
GREAT WALL,50049872,6820 FORT HAMILTON PKWY,"BROOKLYN, NY 11219-5855",BROOKLYN,981018,168448,50049872,Chinese
GREAT WALL CHINESE RESTAURANT,50054908,4341 MAIN ST,"FLUSHING, NY 11355-4743",QUEENS,1032417,213160,50054908,Chinese
GREECOLOGIES,50017003,379 BROOME ST,"NEW YORK, NY 10013-3705",MANHATTAN,985226,201720,50017003,Greek
GREEK GYRO STYLE,50015788,211 KINGS HWY FRNT,"BROOKLYN, NY 11223-1106",BROOKLYN,988805,159899,50015788,Greek
GREENPOINT DELI,50013306,3124 GREENPOINT AVE,"LONG ISLAND CITY, NY 11101-2006",QUEENS,1001657,206928,50013306,Delicatessen
GRISTMILL,50050128,289 5TH AVE APT 1,"BROOKLYN, NY 11215-1967",BROOKLYN,989093,184713,50050128,American
GUADALUPE INN,50054847,1 KNICKERBOCKER AVE,"BROOKLYN, NY 11237-1407",BROOKLYN,1003110,197116,50054847,Mexican
GUIZHOU HUAXI WANG NOODLES,50041723,13335 ROOSEVELT AVE SPC 14,"FLUSHING, NY 11354-5254",QUEENS,1030448,215666,50041723,Chinese
GYRO WORLD,50018857,6657 FRESH POND RD,"RIDGEWOOD, NY 11385-3244",QUEENS,1012725,196963,50018857,Greek
Gasoline Alley Coffee,50005029,154 GRAND ST LBBY 1,"NEW YORK, NY 10013-3194",MANHATTAN,984555,201583,50005029,Caf&eacute;/Coffee/Tea
Gasoline Alley Coffee,50057143,24 E 23RD ST FRNT GROUND,"NEW YORK, NY 10010-4482",MANHATTAN,987659,209149,50057143,Caf&eacute;/Coffee/Tea
Grand Banks,50010286,HUDSON RIVER PARK N. MOORE ST. AT WEST S,"NEW YORK, NY 10013",MANHATTAN,981762,212451,50010286,Seafood
Grand Slam Banquet Hall,50058810,3534 BROADWAY FL 2,"NEW YORK, NY 10031-5632",MANHATTAN,997925,240296,50058810,American
Grotto Restaurant,50014922,8901 3RD AVE,"BROOKLYN, NY 11209-5705",BROOKLYN,975386,165640,50014922,Italian
HALAL CHINESE & KABAB,50055537,2146 STARLING AVE,"BRONX, NY 10462-4303",BRONX,1024745,243961,50055537,Bangladeshi
HALFTIME GRILL,50046503,2112 FLATBUSH AVE,"BROOKLYN, NY 11234-4314",BROOKLYN,1003061,164578,50046503,Jewish/Kosher
HAMA,50032794,11 W 51ST ST,"NEW YORK, NY 10019-6994",MANHATTAN,990492,215977,50032794,Japanese
HANAMI SUSHI,50046049,857 9TH AVE,"NEW YORK, NY 10019-4447",MANHATTAN,988033,218739,50046049,Japanese
HAND ROLLED BAGEL CAFE,50034570,2022 FRANCIS LEWIS BLVD,"WHITESTONE, NY 11357-3931",QUEENS,1039003,223450,50034570,Bagels/Pretzels
HAPPY FAMILY HOTPOT,50011659,3635 MAIN ST,"FLUSHING, NY 11354-4104",QUEENS,1030908,217059,50011659,Chinese
HASHI RAMEN & IZAKAYA,50009233,19212 NORTHERN BLVD,"FLUSHING, NY 11358-2955",QUEENS,1042648,215450,50009233,Japanese
HAVELI FINE INDIAN CUISINE,50017167,11633 QUEENS BLVD,"FOREST HILLS, NY 11375-6533",QUEENS,1030452,200169,50017167,Indian
HE LI RESTAURANT,50053257,5221 FORT HAMILTON PKWY,"BROOKLYN, NY 11219-4004",BROOKLYN,984247,171275,50053257,Chinese
HENDRIKS,50052588,557 3RD AVE,"NEW YORK, NY 10016-3501",MANHATTAN,990669,211604,50052588,American
HENRY'S LOCAL,50005138,570 HENRY ST,"BROOKLYN, NY 11231-2705",BROOKLYN,984075,187609,50005138,Caf&eacute;/Coffee/Tea
HER NAME IS HAN,50041966,17 E 31ST ST,"NEW YORK, NY 10016-6718",MANHATTAN,988460,211088,50041966,Korean
HERBALIFE,50034496,624 MELROSE AVE,"BRONX, NY 10455-2627",BRONX,1007243,237270,50034496,Other
HEYI XIAOCHI II,50044676,5301 8TH AVE REAR REAR,"BROOKLYN, NY 11220-3260",BROOKLYN,982713,172208,50044676,Chinese
HIBACHI MASTER,50009615,8512 5TH AVE,"BROOKLYN, NY 11209-4760",BROOKLYN,977087,165886,50009615,Japanese
HIGH STREET ON HUDSON,50042800,637 HUDSON ST,"NEW YORK, NY 10014-1654",MANHATTAN,982728,208461,50042800,American
HILLSIDE PIZZA,50049939,16904 HILLSIDE AVE,"JAMAICA, NY 11432-4435",QUEENS,1041678,198296,50049939,Pizza
HILLTOP PERK DELI,50033104,83 HAVEN AVE,"NEW YORK, NY 10032-2702",MANHATTAN,1000142,246873,50033104,American
HILTON BROOKLYN NEW YORK,50060435,140 SCHERMERHORN ST,"BROOKLYN, NY 11201-5987",BROOKLYN,987538,190589,50060435,American
HIMALAYAN RESTAURANT & GRILL,50050016,2594 STEINWAY ST FRNT,"ASTORIA, NY 11103-3766",QUEENS,1008610,218916,50050016,Indian
HING WON,50035510,48 W 48TH ST FRNT 1,"NEW YORK, NY 10036-1779",MANHATTAN,989766,215477,50035510,Chinese
HO LEE,50056124,2493 7TH AVE,"NEW YORK, NY 10030-1331",MANHATTAN,1001063,238533,50056124,Chinese
HOGSHEAD TAVERN,50044902,126 HAMILTON PL FRNT,"NEW YORK, NY 10031-6818",MANHATTAN,998320,239469,50044902,American
HOMEWOOD SUITES BY HILTON NEW YORK MIDTOWN MANHATTAN TIMES SQUARE,50054234,312 W 37TH ST,"NEW YORK, NY 10018-4208",MANHATTAN,986258,214113,50054234,American
HOT KITCHEN SICHUAN STYLE,50015406,13343 ROOSEVELT AVE,"FLUSHING, NY 11354-5254",QUEENS,1030594,215732,50015406,Chinese
HOT POTATO HOUSE,50044578,109 ORIENTAL BLVD FL 1,"BROOKLYN, NY 11235-4124",BROOKLYN,997425,149469,50044578,Eastern European
HUDSON MALONE,50005480,218 E 53RD ST,"NEW YORK, NY 10022-5201",MANHATTAN,992900,215231,50005480,American
HUMBERTO'S RICE & BEANS RESTAURANT,50041904,1318 SAINT NICHOLAS AVE,"NEW YORK, NY 10033-7237",MANHATTAN,1001917,247505,50041904,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
HUNG YIP CHINESE RESTAURANT,50009561,7 W 45TH ST,"NEW YORK, NY 10036-4905 US",MANHATTAN,989763,214591,50009561,Chinese
Hampton Inn JFK,50016985,14410 135TH AVE,"JAMAICA, NY 11436-2200",QUEENS,1040870,182813,50016985,American
Hi Tea,50060479,6124 SPRINGFIELD BLVD,"OAKLAND GARDENS, NY 11364-2336",QUEENS,1051700,212178,50060479,Chinese
Hibino LIC,50005184,1070 JACKSON AVE,"LONG ISLAND CITY, NY 11101-5720",QUEENS,997527,209911,50005184,Japanese
Hole In The Wall,50060258,15 CLIFF ST STE 1,"NEW YORK, NY 10038-2859",MANHATTAN,982739,197272,50060258,American
Hole in the Wall Coffee Shop,50008783,420 5TH AVE FL 7,"NEW YORK, NY 10018-0223",MANHATTAN,989003,212817,50008783,Caf&eacute;/Coffee/Tea
Home Chef International Flavors,50017748,23114 MERRICK BLVD,"LAURELTON, NY 11413-2127",QUEENS,1056636,185535,50017748,Caribbean
I BAKERY 18,50035271,7118 18TH AVE,"BROOKLYN, NY 11204-5203",BROOKLYN,985966,163535,50035271,Bakery
I CE NY,50059473,705 59TH ST STE D,"BROOKLYN, NY 11220-3961",BROOKLYN,981265,171416,50059473,"Ice Cream, Gelato, Yogurt, Ices"
I.CE.NY,50060976,7124A AUSTIN ST,"FOREST HILLS, NY 11375-4721",QUEENS,1027491,201584,50060976,"Ice Cream, Gelato, Yogurt, Ices"
I.M. PASTRY STUDIO,50034903,1131 NOSTRAND AVE,"BROOKLYN, NY 11225-5413",BROOKLYN,997972,179724,50034903,Bakery
IAN'S COFFEE SHOP,50045965,501 NOSTRAND AVE,"BROOKLYN, NY 11216-2015",BROOKLYN,998242,187081,50045965,Caf&eacute;/Coffee/Tea
IBAKERY 86,50045226,2223 86TH ST,"BROOKLYN, NY 11214-4107",BROOKLYN,986138,158449,50045226,Chinese
ICHIGO SUSHI RESTAURANT,50019221,7308 3RD AVE,"BROOKLYN, NY 11209-2406",BROOKLYN,976673,169786,50019221,Japanese
IDEA COFFEE,50019000,246 5TH AVE,"NEW YORK, NY 10001-7603",MANHATTAN,987749,210552,50019000,Korean
IDN INTERNATIONAL RESTAURANT,50038505,1333 WEBSTER AVE,"BRONX, NY 10456-1805",BRONX,1009737,243641,50038505,African
IGNITED RESTAURANT & LOUNGE,50017452,3027 STEINWAY ST,"ASTORIA, NY 11103-3801",QUEENS,1007606,217278,50017452,American
IHOP,50043143,15517 NORTHERN BLVD,"FLUSHING, NY 11354-5031",QUEENS,1036936,217790,50043143,Pancakes/Waffles
IHOP,50049899,4168 BROADWAY,"NEW YORK, NY 10033-3772",MANHATTAN,1001369,247953,50049899,American
IHOP,50058993,1019 SURF AVE,"BROOKLYN, NY 11224-2810",BROOKLYN,990228,148941,50058993,American
IHS MARKIT CAFE,50061079,450 W 33RD ST FL 5TH,"NEW YORK, NY 10001-2603",MANHATTAN,984572,213824,50061079,American
IKHOFI CAFE,50047635,199 MALCOLM X BLVD STE 1,"BROOKLYN, NY 11221-2133",BROOKLYN,1003746,189286,50047635,American
IL MATTONE,50046060,49 BEACH ST,"NEW YORK, NY 10013-2343",MANHATTAN,981738,201837,50046060,Pizza/Italian
IMPERO CAFE,50046981,132 W 27TH ST,"NEW YORK, NY 10001-6202",MANHATTAN,986453,211016,50046981,Italian
INCREDIBOWL,50016779,13335 ROOSEVELT AVE UNIT 8,"FLUSHING, NY 11354-5254",QUEENS,1030448,215666,50016779,Chinese
INDAY,50041097,1133 BROADWAY FRNT,"NEW YORK, NY 10010-7903",MANHATTAN,987278,210162,50041097,Indian
INDIE FRESH,50050396,75 9TH AVE,"NEW YORK, NY 10011-7006",MANHATTAN,982944,209562,50050396,"Juice, Smoothies, Fruit Salads"
INDUSTRY KITCHEN,50033451,70 SOUTH ST,"NEW YORK, NY 10005-1616",MANHATTAN,982777,196083,50033451,American
INSA,50044395,328 DOUGLASS ST,"BROOKLYN, NY 11217-3114",BROOKLYN,989075,186886,50044395,Korean
INTERNATIONAL HOUSE DINING,50040532,500 RIVERSIDE DR,"NEW YORK, NY 10027-3916",MANHATTAN,994647,236049,50040532,American
ITALIENNE,50055405,19 W 24TH ST,"NEW YORK, NY 10010-3203",MANHATTAN,986995,209838,50055405,Italian
IVAN RAMEN,50008894,25 CLINTON ST FL GROUND,"NEW YORK, NY 10002-1793",MANHATTAN,988599,201802,50008894,Japanese
IZAKAYA NOMAD,50009047,13 W 26TH ST FL 1,"NEW YORK, NY 10010-1003",MANHATTAN,987175,210331,50009047,Japanese
J LOFT,50062967,1055 E 45TH ST,"BROOKLYN, NY 11203-6511",BROOKLYN,1002712,170805,50062967,American
J R SUSHI,50005592,86A W BROADWAY,"NEW YORK, NY 10007-1020",MANHATTAN,981615,199844,50005592,Japanese
J&M PIZZA,50044818,263 BEACH 20TH ST,"FAR ROCKAWAY, NY 11691-3625",QUEENS,1052521,156679,50044818,Pizza
JACQUES TORRES ICE CREAM,50033575,89 E 42 ST LOWR LC-48A,"NEW YORK, NY 10017-5618",MANHATTAN,990455,213288,50033575,"Ice Cream, Gelato, Yogurt, Ices"
JAMAICA BREEZE RESTAURANT,50055649,2136 MOTT AVE A,"FAR ROCKAWAY, NY 11691-3214",QUEENS,1052369,159825,50055649,Caribbean
JAMAICAN BEST,50051825,20408 HILLSIDE AVE,"HOLLIS, NY 11423-2217",QUEENS,1050510,201823,50051825,Caribbean
JAVA DAY,50012353,4358 162ND ST,"FLUSHING, NY 11358-3131",QUEENS,1038473,215609,50012353,Bagels/Pretzels
JEF CHINESE,50043640,913 2ND AVE,"NEW YORK, NY 10017-1503",MANHATTAN,992788,213976,50043640,Chinese
JEMZ RESTAURANT,50040683,1171 SAINT JOHNS PL,"BROOKLYN, NY 11213-2617",BROOKLYN,1000993,183769,50040683,Caribbean
JENAVIES CAFE,50052463,2920 BRUCKNER BLVD,"BRONX, NY 10465-2101",BRONX,1031982,242908,50052463,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
JENIVIEVE'S JERK ROTISSERIE,50047976,22025 JAMAICA AVE,"QUEENS VILLAGE, NY 11428-2140",QUEENS,1057987,201393,50047976,Caribbean
JIA XING RESTAURANT,50005363,430 4TH AVE # 1,"BROOKLYN, NY 11215-3216",BROOKLYN,987538,183760,50005363,Chinese
JIMBO'S,50016820,284 LENOX AVE,"NEW YORK, NY 10027-4924",MANHATTAN,999249,233403,50016820,Hamburgers
JIMBO'S HAMBURGER,50016822,2027 LEXINGTON AVE,"NEW YORK, NY 10035-2256",MANHATTAN,1001356,231937,50016822,Hamburgers
JIMBO'S HAMBURGER,50053193,2048 AMSTERDAM AVE,"NEW YORK, NY 10032-5057",MANHATTAN,1000840,243714,50053193,American
JIMBO'S HAMBURGERS,50016740,703 LENOX AVE,"NEW YORK, NY 10039-4500",MANHATTAN,1001929,238248,50016740,American
JIMBO'S HAMBURGERS,50054425,228 WILLIS AVE,"BRONX, NY 10454-4839",BRONX,1005489,233862,50054425,American
JIN RAMEN UWS,50018219,462 AMSTERDAM AVE FRNT,"NEW YORK, NY 10024-5006",MANHATTAN,990680,225379,50018219,Japanese
JING WAH CHINESE RESTAURANT,50044427,8720 LIBERTY AVE,"OZONE PARK, NY 11417-1327",QUEENS,1025488,186996,50044427,Chinese
JJ Kitchen,50059047,475A MYRTLE AVE,"BROOKLYN, NY 11205-2521",BROOKLYN,993600,191905,50059047,Chinese
JOE & PAT'S,50061281,1758 VICTORY BLVD,"STATEN ISLAND, NY 10314-3510",STATEN ISLAND,950330,162668,50061281,Pizza/Italian
JOE'S CRAB SHACK,50014832,9250 59TH AVE,"ELMHURST, NY 11373-5025",QUEENS,1020625,206812,50014832,American
JOE'S GARAGE BAR,50057938,4501 23RD AVE,"ASTORIA, NY 11105-1514",QUEENS,1010506,219448,50057938,American
JOE'S LOBSTER HOUSE,50046038,4707 ARTHUR KILL RD FRNT,"STATEN ISLAND, NY 10309-2506",STATEN ISLAND,917706,131695,50046038,Seafood
JOE'S STEAM RICE ROLL,50059314,13621 ROOSEVELT AVE A1,"FLUSHING, NY 11354-5510",QUEENS,1031555,216138,50059314,Chinese
JOHN DOE BAR & KITCHEN,50032938,253 5TH AVE FL GROUND,"NEW YORK, NY 10016-6515",MANHATTAN,987806,210643,50032938,American
JOONG HAN BOON (CHINESE-KOREAN DUMPLINGS AND NOODLE),50032977,13620 ROOSEVELT AVE STE 30,"FLUSHING, NY 11354-5664",QUEENS,1031557,216133,50032977,Asian
JOY BURGER BAR,50016832,1567 LEXINGTON AVE FRNT A,"NEW YORK, NY 10029-6217",MANHATTAN,998377,226560,50016832,Hamburgers
JUICE PRESS,50051293,1633 BROADWAY,"NEW YORK, NY 10019-6708",MANHATTAN,988693,216739,50051293,"Juice, Smoothies, Fruit Salads"
